almorzar;to have lunch;STEM:o_ue;
amar;to love;
contar;to count;STEM:o_ue;
cantar;to sing;
comenzar;to commence;STEM:e_ie;
firmar;to sign;
ganar;to win;
lavar;to wash;
nadar;to swim;
practicar;to practice;
trabajar;to work;
recordar;to remember;STEM:o_ue;
visitar;to visit;
volar;to fly;STEM:o_ue;
aprender;to learn;
beber;to drink;
comer;to eat;
creer;to think/believe;
entender;to understand;STEM:e_ie;
leer;to read;
perder;to lose;STEM:e_ie;
poner;to put;1POV:g;
prometer;to promise;
querer;to wish;STEM:e_ie;
volver;to return;STEM:o_ue;
abrir;to open;
conducir;to drive;1POV:zc;
conseguir;to obtain;STEM:e_i,1POV:g;
decir;to tell;STEM:e_i,1POV:g;
dormir;to sleep;STEM:o_ue;
escribir;to write;
morir;to die;STEM:o_ue;
pedir;to order;STEM:e_i;
preferir;to prefer;STEM:e_ie;
recibir;to receive;
salir;to go out;1POV:g;
seguir;to follow;STEM:e_i,1POV:g;
servir;to serve;STEM:e_i;
traducir;to translate;1POV:zc;
vivir;to live;
estar;to be (temp);false;
ir;to go (to);false;
ser;to be;false;
tener;to have;false;
venir;to come;false;
